sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:50:01

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
   +ddr_wr_buffer_inst:ddr_wr_buffer(AXI_ADDR_WIDTH=33,WR_FIFO_DEPTH=256,BURST_LEN=63,AXI_STRB_WIDTH=64,AXSIZE_WTH=6,WR_USEDW_WITH=8)	    274(160)	     0(0)	  175(142)	    528(461)	     0(0)	    26(0)	     0(0)	
    +u_wr_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)       	      114(0)	     0(0)	     33(0)	       67(0)	     0(0)	    26(0)	     0(0)	
     +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       67(9)	     0(0)	    26(0)	     0(0)	
      +wr_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +rd2wr:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +rd_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr2rd:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +wr_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)     	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +ddr_rd_buffer_inst:ddr_rd_buffer(BURST_LEN=63,AXI_STRB_WIDTH=64,AXI_BURST_WIDTH=6,AXSIZE_WTH=6)	    157(157)	     0(0)	  165(165)	    291(291)	     0(0)	     0(0)	     0(0)	
   +u_bank_sw:bank_switch(FB_NUM=3,ADDR_WIDTH=33,START_ADDR=33'b0,VID_DATA_WIDTH=32,AXI_DATA_WIDTH=512)	      16(16)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
  +fifo_d512t128_inst:fifo_d512t128(RD_FIFO_DEPTH=256)      	      364(2)	     0(0)	     66(0)	      404(7)	     0(0)	    33(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)        	      114(0)	     0(0)	     33(0)	       66(0)	     0(0)	    26(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       66(8)	     0(0)	    26(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +par2ser_512t128_inst:par2ser_512t128(O_VID_WIDTH=128)   	    134(134)	     0(0)	      0(0)	    267(267)	     0(0)	     0(0)	     0(0)	
   +u_rd_fifo1:DC_FIFO(FIFO_DEPTH=256)                      	      114(0)	     0(0)	     33(0)	       64(0)	     0(0)	     7(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       64(6)	     0(0)	     7(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=128,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     7(7)	     0(0)	
  +u_par2ser_parse:par2ser_parse(VID_WIDTH=16,AXI_DATA_WIDTH=128)	      266(0)	     0(0)	      0(0)	      142(0)	     0(0)	     0(0)	     0(0)	
   +u_par2ser_128_16:vid_par2ser(O_VID_WIDTH=16)            	    266(266)	     0(0)	      0(0)	    142(142)	     0(0)	     0(0)	     0(0)	
  +u_data_tx:data_tx(FIFO_DIPTH=1024,FIFO_ALMOST_FULL=960)  	     210(68)	     0(0)	     41(0)	     174(91)	     0(0)	     2(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=16,FIFO_DEPTH=1024)        	      142(0)	     0(0)	     41(0)	       83(0)	     0(0)	     2(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=1024,WIDTH=16,ALMOST_FULL_VALUE=1023,ALMOST_EMPTY_VALUE=1)	     142(42)	     0(0)	    41(20)	       83(9)	     0(0)	     2(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    11(11)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    10(10)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=16,ADDR_WIDTH=10)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
 +u_frame_buffer1:frame_buffer(O_VID_WIDTH=16,WR_FIFO_DEPTH=256,RD_FIFO_DEPTH=256,BURST_LEN=63,START_ADDR=32'b01100000000000000000000000)	     2611(5)	     0(0)	    491(0)	     1710(1)	     0(0)	    61(0)	     0(0)	
  +rst_n_piple_inst:rst_n_piple                             	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +rst_n_o_clk:rst_n_piple                                  	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +u_vid_rx_align:vid_rx_align_v1(I_VID_WIDTH=32,AXI_DDR_WIDTH=512)	      788(0)	     0(0)	     44(0)	      161(0)	     0(0)	     0(0)	     0(0)	
   +u_frame_info_det:frame_info_det(I_VID_WIDTH=32,AXI_DDR_WIDTH=512)	    136(136)	     0(0)	    44(44)	    146(146)	     0(0)	     0(0)	     0(0)	
   +ser2par_24_128_inst:ser2par_24_128_v1(I_VID_WIDTH=32)   	    135(135)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
   +ser2par_inst:ser2par(O_VID_WIDTH=512)                   	    517(517)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
  +u_ddr_buffer:ddr_buffer(AXI_ADDR_WIDTH=33,WR_FIFO_DEPTH=256,RD_FIFO_DEPTH=256,I_VID_WIDTH=32,START_ADDR=32'b01100000000000000000000000,BURST_LEN=63)	      972(0)	     0(0)	    340(0)	      829(0)	     0(0)	    26(0)	     0(0)	
   +ddr_wr_buffer_inst:ddr_wr_buffer(AXI_ADDR_WIDTH=33,WR_FIFO_DEPTH=256,BURST_LEN=63,AXI_STRB_WIDTH=64,AXSIZE_WTH=6,WR_USEDW_WITH=8)	    284(170)	     0(0)	  175(142)	    527(461)	     0(0)	    26(0)	     0(0)	
    +u_wr_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)       	      114(0)	     0(0)	     33(0)	       66(0)	     0(0)	    26(0)	     0(0)	
     +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       66(8)	     0(0)	    26(0)	     0(0)	
      +wr_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +rd2wr:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +rd_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr2rd:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +wr_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)     	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +ddr_rd_buffer_inst:ddr_rd_buffer(BURST_LEN=63,AXI_STRB_WIDTH=64,AXI_BURST_WIDTH=6,AXSIZE_WTH=6)	    670(670)	     0(0)	  165(165)	    293(293)	     0(0)	     0(0)	     0(0)	
   +u_bank_sw:bank_switch(FB_NUM=3,ADDR_WIDTH=33,START_ADDR=32'b01100000000000000000000000,VID_DATA_WIDTH=32,AXI_DATA_WIDTH=512)	      18(18)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
  +fifo_d512t128_inst:fifo_d512t128(RD_FIFO_DEPTH=256)      	      364(2)	     0(0)	     66(0)	      404(7)	     0(0)	    33(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)        	      114(0)	     0(0)	     33(0)	       66(0)	     0(0)	    26(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       66(8)	     0(0)	    26(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +par2ser_512t128_inst:par2ser_512t128(O_VID_WIDTH=128)   	    134(134)	     0(0)	      0(0)	    267(267)	     0(0)	     0(0)	     0(0)	
   +u_rd_fifo1:DC_FIFO(FIFO_DEPTH=256)                      	      114(0)	     0(0)	     33(0)	       64(0)	     0(0)	     7(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       64(6)	     0(0)	     7(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=128,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     7(7)	     0(0)	
  +u_par2ser_parse:par2ser_parse(VID_WIDTH=16,AXI_DATA_WIDTH=128)	      266(0)	     0(0)	      0(0)	      142(0)	     0(0)	     0(0)	     0(0)	
   +u_par2ser_128_16:vid_par2ser(O_VID_WIDTH=16)            	    266(266)	     0(0)	      0(0)	    142(142)	     0(0)	     0(0)	     0(0)	
  +u_data_tx:data_tx(FIFO_DIPTH=1024,FIFO_ALMOST_FULL=960)  	     210(68)	     0(0)	     41(0)	     173(90)	     0(0)	     2(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=16,FIFO_DEPTH=1024)        	      142(0)	     0(0)	     41(0)	       83(0)	     0(0)	     2(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=1024,WIDTH=16,ALMOST_FULL_VALUE=1023,ALMOST_EMPTY_VALUE=1)	     142(42)	     0(0)	    41(20)	       83(9)	     0(0)	     2(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    11(11)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    10(10)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=16,ADDR_WIDTH=10)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
 +uw_axi_interconnect:axi_interconnect(S_COUNT=3,DATA_WIDTH=512,ADDR_WIDTH=33)	  1093(1089)	     0(0)	      9(9)	  1137(1131)	     0(0)	     0(0)	     0(0)	
  +arb_inst:arbiter(PORTS=6,TYPE="ROUND_ROBIN",BLOCK="ACKNOWLEDGE",LSB_PRIORITY="HIGH")	        4(4)	     0(0)	      0(0)	        6(5)	     0(0)	     0(0)	     0(0)	
   +priority_encoder_inst:priority_encoder(WIDTH=6,LSB_PRIORITY="HIGH")	        0(0)	     0(0)	      0(0)	        1(0)	     0(0)	     0(0)	     0(0)	
    +genblk1.priority_encoder_inst1:priority_encoder(LSB_PRIORITY="HIGH")	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +ur_axi_interconnect:axi_interconnect(S_COUNT=3,DATA_WIDTH=512,ADDR_WIDTH=33)	    570(566)	     0(0)	      9(9)	    605(599)	     0(0)	     0(0)	     0(0)	
  +arb_inst:arbiter(PORTS=6,TYPE="ROUND_ROBIN",BLOCK="ACKNOWLEDGE",LSB_PRIORITY="HIGH")	        4(4)	     0(0)	      0(0)	        6(5)	     0(0)	     0(0)	     0(0)	
   +priority_encoder_inst:priority_encoder(WIDTH=6,LSB_PRIORITY="HIGH")	        0(0)	     0(0)	      0(0)	        1(0)	     0(0)	     0(0)	     0(0)	
    +genblk1.priority_encoder_inst1:priority_encoder(LSB_PRIORITY="HIGH")	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +debayer_top:debayer_top_2to1                              	      253(0)	     0(0)	    125(0)	      109(0)	     0(0)	     4(0)	     0(0)	
  +inst_rgb_gain:rgb_gain(P_DEPTH=8,PW=16)                  	      19(19)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_line_buffer_debayer:line_buffer(P_DEPTH=8,X_CNT_WIDTH=10)	      49(49)	     0(0)	      9(9)	        4(4)	     0(0)	     4(0)	     0(0)	
   +inst_y_buffer:true_dual_port_ram(DATA_WIDTH=16,ADDR_WIDTH=11,OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
  +inst_raw_to_rgb:raw_to_rgb(P_DEPTH=8)                    	    185(185)	     0(0)	  116(116)	    105(105)	     0(0)	     0(0)	     0(0)	
 +debayer_top1:debayer_top_2to1                             	      253(0)	     0(0)	    125(0)	      109(0)	     0(0)	     4(0)	     0(0)	
  +inst_rgb_gain:rgb_gain(P_DEPTH=8,PW=16)                  	      19(19)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_line_buffer_debayer:line_buffer(P_DEPTH=8,X_CNT_WIDTH=10)	      49(49)	     0(0)	      9(9)	        4(4)	     0(0)	     4(0)	     0(0)	
   +inst_y_buffer:true_dual_port_ram(DATA_WIDTH=16,ADDR_WIDTH=11,OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
  +inst_raw_to_rgb:raw_to_rgb(P_DEPTH=8)                    	    185(185)	     0(0)	  116(116)	    105(105)	     0(0)	     0(0)	     0(0)	
 +dsi_tx_top_inst0:dsi_tx_top(HSP=8'b0100,VSP=6'b010,VBP=6'b010100,VFP=6'b010100)	    2081(53)	     0(0)	   561(51)	    3607(28)	     0(0)	    48(0)	     0(0)	
  +inst_panel_config:panel_config(INITIAL_CODE="/src/mipi_dsi/Panel_1080p_reg.mem",REG_DEPTH=9'b010010110)	      92(92)	     0(0)	    21(21)	    160(160)	     0(0)	     4(0)	     0(0)	
   +inst_piv2_reg:true_dual_port_ram(DATA_WIDTH=40,WRITE_MODE_1="WRITE_FIRST",WRITE_MODE_2="WRITE_FIRST",OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="/src/mipi_dsi/Panel_1080p_reg.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
  +inst_efx_dsi_tx:dsi_tx                                   	     1936(0)	     0(0)	    489(0)	     3419(0)	     0(0)	    44(0)	     0(0)	
   +u_efx_dsi_tx:efx_dsi_tx_956638cde8974b6a8ef3392f4793002c_renamed_due_excessive_length_1	     1936(0)	     0(0)	    489(0)	     3419(0)	     0(0)	    44(0)	     0(0)	
    +dphy_bidir_tx_inst:efx_dphy_bidir_tx_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125,ENABLE_BIDIR=1'b1)	      340(1)	     0(0)	    131(0)	      921(8)	     0(0)	     0(0)	     0(0)	
     +enter_hs_xfer_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +enter_hs_xfer_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +tx_clane_fsm_inst:dphy_tx_clane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_EXIT_NS=120,HS_BYTECLK_MHZ=125)	      39(22)	     0(0)	     18(9)	      68(33)	     0(0)	     0(0)	     0(0)	
      +tx_hs_c_fsm_inst:dphy_tx_hs_c_fsm_956638cde8974b6a8ef3392f4793002c(tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,HS_BYTECLK_MHZ=125)	      17(17)	     0(0)	      9(9)	      35(35)	     0(0)	     0(0)	     0(0)	
     +genblk2.bidir_tx_dlane_fsm_inst:dphy_bidir_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      93(69)	     0(0)	    38(29)	    272(222)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      50(50)	     0(0)	     0(0)	     0(0)	
     +genblk2.bidir_rx_dlane_fsm_inst:dphy_bidir_rx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,HS_BYTECLK_MHZ=125)	      36(36)	     0(0)	    12(12)	    134(134)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[1].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     149(93)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      56(56)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[2].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     143(90)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      53(53)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[3].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      55(31)	     0(0)	    21(12)	     147(90)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      57(57)	     0(0)	     0(0)	     0(0)	
